ID,claim_ID,category,expenseDate,amount,currency,description,policyViolation,createdAt,createdBy,modifiedAt,modifiedBy
f1000000-0001-4000-f000-000000000001,c1000000-0001-4000-e000-000000000001,TRAVEL,2024-01-10,4200.00,INR,Flight Mumbai-Bangalore return,false,2024-01-10T10:00:00Z,aarav.joshi,2024-01-10T10:00:00Z,aarav.joshi
f1000000-0002-4000-f000-000000000002,c1000000-0001-4000-e000-000000000001,HOTEL,2024-01-10,7500.00,INR,Hotel stay 2 nights Trident Mumbai,false,2024-01-10T10:05:00Z,aarav.joshi,2024-01-10T10:05:00Z,aarav.joshi
f1000000-0003-4000-f000-000000000003,c1000000-0001-4000-e000-000000000001,FOOD,2024-01-11,850.00,INR,Team lunch with client,false,2024-01-11T13:00:00Z,aarav.joshi,2024-01-11T13:00:00Z,aarav.joshi
f1000000-0004-4000-f000-000000000004,c1000000-0001-4000-e000-000000000001,TRANSPORT,2024-01-10,650.00,INR,Cab airport to hotel,false,2024-01-10T10:10:00Z,aarav.joshi,2024-01-10T10:10:00Z,aarav.joshi
f1000000-0005-4000-f000-000000000005,c1000000-0001-4000-e000-000000000001,FOOD,2024-01-12,600.00,INR,Dinner at client dinner,false,2024-01-12T20:00:00Z,aarav.joshi,2024-01-12T20:00:00Z,aarav.joshi
f1000000-0006-4000-f000-000000000006,c1000000-0002-4000-e000-000000000002,TRAVEL,2024-01-15,5500.00,INR,Bus tickets for team offsite,false,2024-01-15T09:00:00Z,sneha.iyer,2024-01-15T09:00:00Z,sneha.iyer
f1000000-0007-4000-f000-000000000007,c1000000-0002-4000-e000-000000000002,HOTEL,2024-01-15,16000.00,INR,Hotel Vivanta Pune 2 nights,false,2024-01-15T09:05:00Z,sneha.iyer,2024-01-15T09:05:00Z,sneha.iyer
f1000000-0008-4000-f000-000000000008,c1000000-0002-4000-e000-000000000002,FOOD,2024-01-16,4200.00,INR,Team meals over 2 days,false,2024-01-16T12:00:00Z,sneha.iyer,2024-01-16T12:00:00Z,sneha.iyer
f1000000-0009-4000-f000-000000000009,c1000000-0002-4000-e000-000000000002,OFFICE,2024-01-16,3800.00,INR,Workshop materials and stationery,false,2024-01-16T09:10:00Z,sneha.iyer,2024-01-16T09:10:00Z,sneha.iyer
f1000000-0010-4000-f000-000000000010,c1000000-0002-4000-e000-000000000002,TRANSPORT,2024-01-17,2500.00,INR,Cab rentals Pune city,false,2024-01-17T09:00:00Z,sneha.iyer,2024-01-17T09:00:00Z,sneha.iyer
f1000000-0011-4000-f000-000000000011,c1000000-0003-4000-e000-000000000003,TRAVEL,2024-01-20,8500.00,INR,Flight Pune-Delhi return economy,false,2024-01-20T08:30:00Z,rohan.kulkarni,2024-01-20T08:30:00Z,rohan.kulkarni
f1000000-0012-4000-f000-000000000012,c1000000-0003-4000-e000-000000000003,HOTEL,2024-01-21,22000.00,INR,Hotel The Leela Delhi 3 nights,false,2024-01-21T08:35:00Z,rohan.kulkarni,2024-01-21T08:35:00Z,rohan.kulkarni
f1000000-0013-4000-f000-000000000013,c1000000-0003-4000-e000-000000000003,FOOD,2024-01-22,3200.00,INR,Meals 3 days,false,2024-01-22T12:00:00Z,rohan.kulkarni,2024-01-22T12:00:00Z,rohan.kulkarni
f1000000-0014-4000-f000-000000000014,c1000000-0003-4000-e000-000000000003,TRANSPORT,2024-01-20,2100.00,INR,Metro and cab expenses Delhi,false,2024-01-20T08:40:00Z,rohan.kulkarni,2024-01-20T08:40:00Z,rohan.kulkarni
f1000000-0015-4000-f000-000000000015,c1000000-0003-4000-e000-000000000003,OFFICE,2024-01-23,9400.00,INR,Audit documentation and printing,false,2024-01-23T08:30:00Z,rohan.kulkarni,2024-01-23T08:30:00Z,rohan.kulkarni
f1000000-0016-4000-f000-000000000016,c1000000-0004-4000-e000-000000000004,TRAVEL,2024-01-22,5200.00,INR,Train Pune-Hyderabad,false,2024-01-22T10:00:00Z,meera.pillai,2024-01-22T10:00:00Z,meera.pillai
f1000000-0017-4000-f000-000000000017,c1000000-0004-4000-e000-000000000004,HOTEL,2024-01-23,14800.00,INR,Hotel Taj Krishna Hyderabad 2 nights,true,2024-01-23T10:05:00Z,meera.pillai,2024-01-23T10:05:00Z,meera.pillai
f1000000-0018-4000-f000-000000000018,c1000000-0004-4000-e000-000000000004,FOOD,2024-01-24,2400.00,INR,Meals with vendor team,false,2024-01-24T12:00:00Z,meera.pillai,2024-01-24T12:00:00Z,meera.pillai
f1000000-0019-4000-f000-000000000019,c1000000-0004-4000-e000-000000000004,TRANSPORT,2024-01-22,900.00,INR,Cab bookings Hyderabad,false,2024-01-22T10:10:00Z,meera.pillai,2024-01-22T10:10:00Z,meera.pillai
f1000000-0020-4000-f000-000000000020,c1000000-0004-4000-e000-000000000004,OFFICE,2024-01-25,4500.00,INR,Vendor contract printing and courier,false,2024-01-25T10:00:00Z,meera.pillai,2024-01-25T10:00:00Z,meera.pillai
f1000000-0021-4000-f000-000000000021,c1000000-0005-4000-e000-000000000005,TRAVEL,2024-02-01,12000.00,USD,Flight Chennai conference return,false,2024-02-01T09:00:00Z,karan.gupta,2024-02-01T09:00:00Z,karan.gupta
f1000000-0022-4000-f000-000000000022,c1000000-0005-4000-e000-000000000005,HOTEL,2024-02-02,18500.00,USD,Hotel Marriott Chennai 2 nights,false,2024-02-02T09:05:00Z,karan.gupta,2024-02-02T09:05:00Z,karan.gupta
f1000000-0023-4000-f000-000000000023,c1000000-0005-4000-e000-000000000005,FOOD,2024-02-03,3200.00,USD,Conference meals and snacks,false,2024-02-03T12:00:00Z,karan.gupta,2024-02-03T12:00:00Z,karan.gupta
f1000000-0024-4000-f000-000000000024,c1000000-0005-4000-e000-000000000005,TRANSPORT,2024-02-01,800.00,USD,Cab and auto Chennai,false,2024-02-01T09:10:00Z,karan.gupta,2024-02-01T09:10:00Z,karan.gupta
f1000000-0025-4000-f000-000000000025,c1000000-0006-4000-e000-000000000006,TRANSPORT,2024-02-05,2100.00,INR,Cab Bangalore airport to office,false,2024-02-05T08:00:00Z,divya.reddy,2024-02-05T08:00:00Z,divya.reddy
f1000000-0026-4000-f000-000000000026,c1000000-0006-4000-e000-000000000006,FOOD,2024-02-06,1800.00,INR,Meals with customer team,false,2024-02-06T12:00:00Z,divya.reddy,2024-02-06T12:00:00Z,divya.reddy
f1000000-0027-4000-f000-000000000027,c1000000-0006-4000-e000-000000000006,OFFICE,2024-02-06,5400.00,INR,Demo equipment and brochures,false,2024-02-06T08:05:00Z,divya.reddy,2024-02-06T08:05:00Z,divya.reddy
f1000000-0028-4000-f000-000000000028,c1000000-0006-4000-e000-000000000006,HOTEL,2024-02-05,6300.00,INR,Hotel stay 1 night Bangalore,false,2024-02-05T08:10:00Z,divya.reddy,2024-02-05T08:10:00Z,divya.reddy
f1000000-0029-4000-f000-000000000029,c1000000-0007-4000-e000-000000000007,TRAVEL,2024-02-08,6200.00,INR,Flight Bangalore-Kolkata return,false,2024-02-08T09:30:00Z,amit.banerjee,2024-02-08T09:30:00Z,amit.banerjee
f1000000-0030-4000-f000-000000000030,c1000000-0007-4000-e000-000000000007,HOTEL,2024-02-09,9000.00,INR,Hotel ITC Royal Bengal 1 night,false,2024-02-09T09:35:00Z,amit.banerjee,2024-02-09T09:35:00Z,amit.banerjee
f1000000-0031-4000-f000-000000000031,c1000000-0007-4000-e000-000000000007,FOOD,2024-02-09,1600.00,INR,Meals during training,false,2024-02-09T12:00:00Z,amit.banerjee,2024-02-09T12:00:00Z,amit.banerjee
f1000000-0032-4000-f000-000000000032,c1000000-0007-4000-e000-000000000007,OFFICE,2024-02-10,3200.00,INR,Training materials and handouts,false,2024-02-10T09:30:00Z,amit.banerjee,2024-02-10T09:30:00Z,amit.banerjee
f1000000-0033-4000-f000-000000000033,c1000000-0007-4000-e000-000000000007,TRANSPORT,2024-02-08,2100.00,INR,Metro and cab Kolkata,false,2024-02-08T09:40:00Z,amit.banerjee,2024-02-08T09:40:00Z,amit.banerjee
f1000000-0034-4000-f000-000000000034,c1000000-0009-4000-e000-000000000009,TRAVEL,2024-02-15,15000.00,EUR,Flight Bangalore conference return,false,2024-02-15T08:00:00Z,nikhil.verma,2024-02-15T08:00:00Z,nikhil.verma
f1000000-0035-4000-f000-000000000035,c1000000-0009-4000-e000-000000000009,HOTEL,2024-02-16,20000.00,EUR,Hotel Shangri-La Bengaluru 2 nights,false,2024-02-16T08:05:00Z,nikhil.verma,2024-02-16T08:05:00Z,nikhil.verma
f1000000-0036-4000-f000-000000000036,c1000000-0009-4000-e000-000000000009,FOOD,2024-02-17,2800.00,EUR,Tech conference meals 2 days,false,2024-02-17T12:00:00Z,nikhil.verma,2024-02-17T12:00:00Z,nikhil.verma
f1000000-0037-4000-f000-000000000037,c1000000-0009-4000-e000-000000000009,TRANSPORT,2024-02-15,1500.00,EUR,Cabs and auto Bengaluru,false,2024-02-15T08:10:00Z,nikhil.verma,2024-02-15T08:10:00Z,nikhil.verma
f1000000-0038-4000-f000-000000000038,c1000000-0009-4000-e000-000000000009,OFFICE,2024-02-18,1700.00,EUR,Conference registration and badge,false,2024-02-18T08:00:00Z,nikhil.verma,2024-02-18T08:00:00Z,nikhil.verma
f1000000-0039-4000-f000-000000000039,c1000000-0013-4000-e000-000000000013,TRAVEL,2024-03-10,9200.00,INR,Flight Pune-Delhi return,false,2024-03-10T09:00:00Z,rohan.kulkarni,2024-03-10T09:00:00Z,rohan.kulkarni
f1000000-0040-4000-f000-000000000040,c1000000-0013-4000-e000-000000000013,HOTEL,2024-03-11,15000.00,INR,Hotel Lalit New Delhi 2 nights,true,2024-03-11T09:05:00Z,rohan.kulkarni,2024-03-11T09:05:00Z,rohan.kulkarni
f1000000-0041-4000-f000-000000000041,c1000000-0013-4000-e000-000000000013,FOOD,2024-03-12,3800.00,INR,Meals and entertainment,true,2024-03-12T12:00:00Z,rohan.kulkarni,2024-03-12T12:00:00Z,rohan.kulkarni
f1000000-0042-4000-f000-000000000042,c1000000-0013-4000-e000-000000000013,TRANSPORT,2024-03-10,3500.00,INR,Cab and auto Noida,false,2024-03-10T09:10:00Z,rohan.kulkarni,2024-03-10T09:10:00Z,rohan.kulkarni
f1000000-0043-4000-f000-000000000043,c1000000-0015-4000-e000-000000000015,TRAVEL,2024-03-20,18000.00,USD,Flight Goa conference return,true,2024-03-20T09:00:00Z,karan.gupta,2024-03-20T09:00:00Z,karan.gupta
f1000000-0044-4000-f000-000000000044,c1000000-0015-4000-e000-000000000015,HOTEL,2024-03-21,28000.00,USD,Resort Grand Hyatt Goa 3 nights,false,2024-03-21T09:05:00Z,karan.gupta,2024-03-21T09:05:00Z,karan.gupta
f1000000-0045-4000-f000-000000000045,c1000000-0015-4000-e000-000000000015,FOOD,2024-03-22,4800.00,USD,Sales team meals 3 days,false,2024-03-22T12:00:00Z,karan.gupta,2024-03-22T12:00:00Z,karan.gupta
f1000000-0046-4000-f000-000000000046,c1000000-0015-4000-e000-000000000015,TRANSPORT,2024-03-20,2200.00,USD,Cab transfers Goa,false,2024-03-20T09:10:00Z,karan.gupta,2024-03-20T09:10:00Z,karan.gupta
f1000000-0047-4000-f000-000000000047,c1000000-0015-4000-e000-000000000015,OFFICE,2024-03-23,2200.00,USD,Event and AV setup materials,false,2024-03-23T09:00:00Z,karan.gupta,2024-03-23T09:00:00Z,karan.gupta
f1000000-0048-4000-f000-000000000048,c1000000-0021-4000-e000-000000000021,TRAVEL,2024-05-01,7800.00,INR,Flight Bangalore-Hyderabad return,false,2024-05-01T10:00:00Z,aarav.joshi,2024-05-01T10:00:00Z,aarav.joshi
f1000000-0049-4000-f000-000000000049,c1000000-0021-4000-e000-000000000021,HOTEL,2024-05-02,14500.00,INR,Hotel Novotel Hyderabad 2 nights,false,2024-05-02T10:05:00Z,aarav.joshi,2024-05-02T10:05:00Z,aarav.joshi
f1000000-0050-4000-f000-000000000050,c1000000-0021-4000-e000-000000000021,FOOD,2024-05-03,2800.00,INR,Meals review meetings,false,2024-05-03T12:00:00Z,aarav.joshi,2024-05-03T12:00:00Z,aarav.joshi
f1000000-0051-4000-f000-000000000051,c1000000-0021-4000-e000-000000000021,TRANSPORT,2024-05-01,1600.00,INR,Cabs Hyderabad airport to hotel,false,2024-05-01T10:10:00Z,aarav.joshi,2024-05-01T10:10:00Z,aarav.joshi
f1000000-0052-4000-f000-000000000052,c1000000-0021-4000-e000-000000000021,OFFICE,2024-05-04,7000.00,INR,Architecture diagram printing and binding,false,2024-05-04T10:00:00Z,aarav.joshi,2024-05-04T10:00:00Z,aarav.joshi
f1000000-0053-4000-f000-000000000053,c1000000-0023-4000-e000-000000000023,TRAVEL,2024-05-08,6500.00,INR,Flight Mumbai-Ahmedabad return,false,2024-05-08T08:30:00Z,rohan.kulkarni,2024-05-08T08:30:00Z,rohan.kulkarni
f1000000-0054-4000-f000-000000000054,c1000000-0023-4000-e000-000000000023,HOTEL,2024-05-09,12800.00,INR,Hotel Hyatt Regency Ahmedabad 2 nights,true,2024-05-09T08:35:00Z,rohan.kulkarni,2024-05-09T08:35:00Z,rohan.kulkarni
f1000000-0055-4000-f000-000000000055,c1000000-0023-4000-e000-000000000023,FOOD,2024-05-10,2500.00,INR,Team meals during GST review,false,2024-05-10T12:00:00Z,rohan.kulkarni,2024-05-10T12:00:00Z,rohan.kulkarni
f1000000-0056-4000-f000-000000000056,c1000000-0023-4000-e000-000000000023,TRANSPORT,2024-05-08,2000.00,INR,Auto and cab Ahmedabad,false,2024-05-08T08:40:00Z,rohan.kulkarni,2024-05-08T08:40:00Z,rohan.kulkarni
f1000000-0057-4000-f000-000000000057,c1000000-0029-4000-e000-000000000029,TRAVEL,2024-05-19,13500.00,USD,Flight Bangalore-Chennai return,false,2024-05-19T08:00:00Z,nikhil.verma,2024-05-19T08:00:00Z,nikhil.verma
f1000000-0058-4000-f000-000000000058,c1000000-0029-4000-e000-000000000029,HOTEL,2024-05-20,14400.00,USD,Hotel Grand Chennai 2 nights,false,2024-05-20T08:05:00Z,nikhil.verma,2024-05-20T08:05:00Z,nikhil.verma
f1000000-0059-4000-f000-000000000059,c1000000-0029-4000-e000-000000000029,FOOD,2024-05-21,3200.00,USD,Meals during security audit,false,2024-05-21T12:00:00Z,nikhil.verma,2024-05-21T12:00:00Z,nikhil.verma
f1000000-0060-4000-f000-000000000060,c1000000-0029-4000-e000-000000000029,TRANSPORT,2024-05-19,1500.00,USD,Cab transfers Chennai,false,2024-05-19T08:10:00Z,nikhil.verma,2024-05-19T08:10:00Z,nikhil.verma
f1000000-0061-4000-f000-000000000061,c1000000-0029-4000-e000-000000000029,OFFICE,2024-05-22,3000.00,USD,Security assessment tools and reports,false,2024-05-22T08:00:00Z,nikhil.verma,2024-05-22T08:00:00Z,nikhil.verma
