ID,claim_ID,processedBy_ID,processedDate,paymentRef,status,createdAt,createdBy,modifiedAt,modifiedBy
r1000000-0001-4000-g000-000000000001,c1000000-0001-4000-e000-000000000001,a1000000-0001-4000-b000-000000000001,2024-02-05,NEFT/2024/0201/001,COMPLETED,2024-02-03T09:00:00Z,priya.nair,2024-02-05T12:00:00Z,priya.nair
r1000000-0002-4000-g000-000000000002,c1000000-0002-4000-e000-000000000002,a1000000-0001-4000-b000-000000000001,2024-02-10,NEFT/2024/0210/002,COMPLETED,2024-02-08T09:00:00Z,priya.nair,2024-02-10T11:00:00Z,priya.nair
r1000000-0003-4000-g000-000000000003,c1000000-0005-4000-e000-000000000005,a1000000-0003-4000-b000-000000000003,2024-03-01,NEFT/2024/0301/003,COMPLETED,2024-02-28T09:00:00Z,admin,2024-03-01T10:00:00Z,admin
r1000000-0004-4000-g000-000000000004,c1000000-0006-4000-e000-000000000006,a1000000-0003-4000-b000-000000000003,2024-03-05,NEFT/2024/0305/004,COMPLETED,2024-03-04T09:00:00Z,admin,2024-03-05T11:00:00Z,admin
r1000000-0005-4000-g000-000000000005,c1000000-0007-4000-e000-000000000007,a1000000-0001-4000-b000-000000000001,2024-03-10,NEFT/2024/0310/005,COMPLETED,2024-03-08T09:00:00Z,priya.nair,2024-03-10T12:00:00Z,priya.nair
r1000000-0006-4000-g000-000000000006,c1000000-0009-4000-e000-000000000009,a1000000-0003-4000-b000-000000000003,2024-03-15,NEFT/2024/0315/006,COMPLETED,2024-03-13T09:00:00Z,admin,2024-03-15T14:00:00Z,admin
r1000000-0007-4000-g000-000000000007,c1000000-0010-4000-e000-000000000010,a1000000-0002-4000-b000-000000000002,,NEFT/2024/0318/007,PENDING,2024-03-16T09:00:00Z,admin,2024-03-18T10:00:00Z,admin
r1000000-0008-4000-g000-000000000008,c1000000-0012-4000-e000-000000000012,a1000000-0001-4000-b000-000000000001,2024-04-05,NEFT/2024/0405/008,COMPLETED,2024-04-03T09:00:00Z,priya.nair,2024-04-05T11:00:00Z,priya.nair
r1000000-0009-4000-g000-000000000009,c1000000-0014-4000-e000-000000000014,a1000000-0002-4000-b000-000000000002,2024-04-15,NEFT/2024/0415/009,COMPLETED,2024-04-13T09:00:00Z,admin,2024-04-15T12:00:00Z,admin
r1000000-0010-4000-g000-000000000010,c1000000-0015-4000-e000-000000000015,a1000000-0003-4000-b000-000000000003,2024-04-20,NEFT/2024/0420/010,COMPLETED,2024-04-18T09:00:00Z,admin,2024-04-20T11:00:00Z,admin
r1000000-0011-4000-g000-000000000011,c1000000-0017-4000-e000-000000000017,a1000000-0001-4000-b000-000000000001,2024-05-05,NEFT/2024/0505/011,COMPLETED,2024-05-03T09:00:00Z,priya.nair,2024-05-05T12:00:00Z,priya.nair
r1000000-0012-4000-g000-000000000012,c1000000-0019-4000-e000-000000000019,a1000000-0003-4000-b000-000000000003,,NEFT/2024/0512/012,PENDING,2024-05-10T09:00:00Z,admin,2024-05-12T14:00:00Z,admin
r1000000-0013-4000-g000-000000000013,c1000000-0003-4000-e000-000000000003,a1000000-0002-4000-b000-000000000002,,NEFT/2024/PEND/013,PENDING,2024-02-10T09:00:00Z,admin,2024-02-10T09:00:00Z,admin
r1000000-0014-4000-g000-000000000014,c1000000-0004-4000-e000-000000000004,a1000000-0002-4000-b000-000000000002,,NEFT/2026/PEND/014,PENDING,2026-05-27T09:00:00Z,admin,2026-05-27T09:00:00Z,admin
r1000000-0015-4000-g000-000000000015,c1000000-0008-4000-e000-000000000008,a1000000-0002-4000-b000-000000000002,,NEFT/2026/PEND/015,PENDING,2026-05-27T09:05:00Z,admin,2026-05-27T09:05:00Z,admin
r1000000-0016-4000-g000-000000000016,c1000000-0011-4000-e000-000000000011,a1000000-0001-4000-b000-000000000001,,NEFT/2026/PEND/016,PENDING,2026-05-27T09:10:00Z,admin,2026-05-27T09:10:00Z,admin
r1000000-0017-4000-g000-000000000017,c1000000-0016-4000-e000-000000000016,a1000000-0003-4000-b000-000000000003,,NEFT/2026/PEND/017,PENDING,2026-05-27T09:15:00Z,admin,2026-05-27T09:15:00Z,admin
r1000000-0018-4000-g000-000000000018,c1000000-0018-4000-e000-000000000018,a1000000-0002-4000-b000-000000000002,,NEFT/2026/PEND/018,PENDING,2026-05-27T09:20:00Z,admin,2026-05-27T09:20:00Z,admin
r1000000-0019-4000-g000-000000000019,c1000000-0020-4000-e000-000000000020,a1000000-0002-4000-b000-000000000002,,NEFT/2026/PEND/019,PENDING,2026-05-27T09:25:00Z,admin,2026-05-27T09:25:00Z,admin
r1000000-0020-4000-g000-000000000020,c1000000-0025-4000-e000-000000000025,a1000000-0003-4000-b000-000000000003,,NEFT/2026/PEND/020,PENDING,2026-05-27T09:30:00Z,admin,2026-05-27T09:30:00Z,admin